1238,translation,paternoster,danny-boy5421,jan-david,129,,
786,vignette,garden,dave,-,,,
146,question,compound indirect object,"Davis, Susan","Voight, Helmut",,not finished,
130,invitation,learn tp,"Davis, Susan, ","Phillips,Naomi; Mato",42,,
73,fun,ouzzle,ddII,"Sotan, Sewe",204,,
109,definition,month names,ddii,"Sewe, Kipo, ??????? ???????; Wegesin, Maxime",436,,
134,discussion,lws make crimes,ddii,Engelhardt,176,,
157,announcement,language contest,ddii,"jona, sala, hansberry,mali",219,,
222,announcement,tenlan,ddii,"Hughes, Dylan, Resmer, perdot",30,,
231,question,when use tp,ddii,"Zouzalik, Vaclaw; campell, jsb, Sailer, Manfred, rudin, wiki, kramer, sewe",179,,
234,announcement,size of tpt,ddii,"kipo, sewe",68,,
240,chat,word use,ddii,"pilo, niko, joop, kipo",150,,
244,writing,other scripts,ddii,"puddu, sewe hansberry, Silversides, harry",85,"greek,cyrillic",
246,maxim,keep correcting,ddii,-,6,,
263,vignette,prof & pet,ddii,-,398,,
264,chat,gibberish,ddii,kipo,33,,
266,maxim,knowledge has a hole,ddii,"sotan, pilo",144,polish,
277,question,tp names,ddii,see spreadsheet,450,,
301,discussion,word disassemble,ddii,"kramer, kotwica, kipo, jbs, miles",66,,
304,announcement,change speech,ddii,-,27,,
320,maxim,teaching,ddii,"wesman wesman, leclerq",75,,
322,chat,lst mind,ddii,-,4,,
351,chat,moku tp,ddii,sewe,37,,
354,chat,time changes,ddii,kipo,153,,
356,chat,teaching,ddii,"wesman, wiki",92,,
374,chat,"wawa, toki ",ddii,"jbs, jona, Raaberg,Josefine Dagmar; wiki",129,,
383,maxim,love destroys war,ddii,"jona, eads, moniz",59,,
450,chat,etc,ddii,"kise, waso_pimeja, jona, kile, tonjo, enwijan, maliku, kaju, ato,wiki, same,",839,,
471,chat,discord,ddii,krsticevic,29,,
600,announcement,code renderers,ddii,-,36,,
604,meme,tp boggle,ddii,sewe,16,,
605,fun,name tiles,ddii,"henry william, sewe",132,,
606,discussion,more people that word,ddii,kipo,66,,
607,chat,only tp,ddii,-,34,,
609,announcement,tpt logo,ddii,"Lê Hoàng Kim D??ng, calev, jona, kipo, mali",567,,
622,announcement,talk anew,ddii,-,4,,
623,announcement,telegram,ddii,"jona, mali",123,,
652,discussion,corrections,ddii,"sotan, sewe, hansberry, niko, taylor, jbs, kipo",1261,,
657,question,x ala x,ddii,"sewe, moreira, campbell, mali",100,,
665,announcement,new tool,ddii,-,30,,
675,greeting,toki,ddii,"harness, john",2,,
